experiment,validation_type,run_id,seed,model,class_id,class_name,precision,recall,f1,support
template_ablation,stratified_random,0,42,linear_fixed_cnn,0,small,0.9117647058823529,0.9029126213592233,0.9073170731707318,103
template_ablation,stratified_random,0,42,linear_fixed_cnn,1,medium,0.7230769230769231,0.7704918032786885,0.746031746031746,61
template_ablation,stratified_random,0,42,linear_fixed_cnn,2,large,0.868421052631579,0.8048780487804879,0.8354430379746836,41
template_ablation,stratified_random,0,42,dtw_clsmin_mean,0,small,0.9207920792079208,0.9029126213592233,0.911764705882353,103
template_ablation,stratified_random,0,42,dtw_clsmin_mean,1,medium,0.8,0.7868852459016393,0.7933884297520661,61
template_ablation,stratified_random,0,42,dtw_clsmin_mean,2,large,0.8863636363636364,0.9512195121951219,0.9176470588235294,41
template_ablation,stratified_random,0,42,dtw_clsmin_dba,0,small,0.8782608695652174,0.9805825242718447,0.926605504587156,103
template_ablation,stratified_random,0,42,dtw_clsmin_dba,1,medium,0.8958333333333334,0.7049180327868853,0.7889908256880733,61
template_ablation,stratified_random,0,42,dtw_clsmin_dba,2,large,0.9047619047619048,0.926829268292683,0.9156626506024096,41
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,0,small,0.9787234042553191,0.8932038834951457,0.934010152284264,103
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,1,medium,0.8169014084507042,0.9508196721311475,0.8787878787878788,61
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,2,large,0.95,0.926829268292683,0.9382716049382716,41
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,0,small,0.9611650485436893,0.9611650485436893,0.9611650485436893,103
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,1,medium,0.8769230769230769,0.9344262295081968,0.9047619047619049,61
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,2,large,1.0,0.9024390243902439,0.9487179487179488,41
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,0,small,0.8695652173913043,0.970873786407767,0.9174311926605504,103
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,1,medium,0.8222222222222222,0.6065573770491803,0.6981132075471698,61
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,2,large,0.8,0.8780487804878049,0.8372093023255814,41
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,0,small,0.9523809523809523,0.970873786407767,0.9615384615384616,103
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,1,medium,0.9193548387096774,0.9344262295081968,0.9268292682926829,61
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,2,large,1.0,0.926829268292683,0.9620253164556963,41
template_ablation,stratified_random,0,42,dtw_random_pool_K2,0,small,0.9345794392523364,0.970873786407767,0.9523809523809522,103
template_ablation,stratified_random,0,42,dtw_random_pool_K2,1,medium,0.8909090909090909,0.8032786885245902,0.8448275862068965,61
template_ablation,stratified_random,0,42,dtw_random_pool_K2,2,large,0.8837209302325582,0.926829268292683,0.9047619047619047,41
